aclnn_api,mindspore,pyboost,kbk,kernel_mod_src,pyboost_src,kernel_mod_gen,pyboost_gen,evidence,via_ops,via_kernel_mod_src,via_pyboost_src,via_kernel_mod_gen,via_pyboost_gen,custom_dispatch_ops,custom_dispatch_names,direct_match,suspected_fusion,cpp_funcs,kernel_mod_files,pyboost_files,remarks
aclnnIsPosInf,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnKlDiv,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,KLDiv,KLDiv,,,,,,KLDiv,False,KLDivAscend,kernel_mod_impl/customize/kl_div_aclnn_kernel.cc;kernel_mod_impl/customize/kl_div_aclnn_kernel.h,,
aclnnKlDivBackward,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,KLDivGrad,KLDivGrad,,,,,,,True,KLDivGradAscend,kernel_mod_impl/customize/kl_div_grad_aclnn_kernel.cc;kernel_mod_impl/customize/kl_div_grad_aclnn_kernel.h,,
aclnnKthvalue,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,Kthvalue,,,Kthvalue,Kthvalue,,,Kthvalue,False,,,,
aclnnL1Loss,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,L1LossExt,L1LossExt,,,,L1LossExt,L1LossExtAscend,,True,L1LossExtAclnnKernelMod,kernel_mod_impl/customize/l1_loss_ext_aclnn_kernel.cc;kernel_mod_impl/customize/l1_loss_ext_aclnn_kernel.h,,has_custom_dispatch
aclnnL1LossBackward,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,L1LossBackwardExt,L1LossBackwardExt,,,,,,,True,L1LossBackwardExtAclnnKernelMod,kernel_mod_impl/customize/l1_loss_backward_ext_aclnn_kernel.cc;kernel_mod_impl/customize/l1_loss_backward_ext_aclnn_kernel.h,,
aclnnLayerNorm,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,LayerNormExt,LayerNormExt,,,,LayerNormExt,LayerNormExtAscend,,True,LayerNormExtAscend,kernel_mod_impl/customize/layer_norm_ext_aclnn_kernel.cc;kernel_mod_impl/customize/layer_norm_ext_aclnn_kernel.h,,has_custom_dispatch
aclnnLayerNormBackward,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,LayerNormGradExt,LayerNormGradExt,,,,LayerNormGradExt,LayerNormGradExtAscend,,True,LayerNormGradExtAscend,kernel_mod_impl/customize/layer_norm_grad_ext_aclnn_kernel.cc;kernel_mod_impl/customize/layer_norm_grad_ext_aclnn_kernel.h,,has_custom_dispatch
aclnnLayerNormWithImplMode,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnLeScalar,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnLeTensor,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,LessEqual,,,LessEqual,LessEqual,,,,True,,,,
aclnnLeakyRelu,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,LeakyReLUExt,,,LeakyReLUExt,LeakyReLUExt,,,,True,,,,
aclnnLeakyReluBackward,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,LeakyReLUGradExt,,,LeakyReLUGradExt,LeakyReLUGradExt,,,,True,,,,
aclnnLerp,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,Lerp,Lerp,,,,Lerp,LerpAscend,Lerp,False,LerpAscend,kernel_mod_impl/customize/lerp_aclnn_kernel.cc;kernel_mod_impl/customize/lerp_aclnn_kernel.h,,has_custom_dispatch
aclnnLerps,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,LerpScalar,LerpScalar,,,,,,,True,LerpScalarAscend,kernel_mod_impl/customize/lerp_scalar_aclnn_kernel.cc;kernel_mod_impl/customize/lerp_scalar_aclnn_kernel.h,,
aclnnLgamma,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnLightningIndexerGrad,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,LightningIndexerGrad,LightningIndexerGrad,,,,LightningIndexerGrad,LightningIndexerGradAscend,LightningIndexerGrad,False,LightningIndexerGradAscend,kernel_mod_impl/customize/lightning_indexer_grad_aclnn_kernel.cc;kernel_mod_impl/customize/lightning_indexer_grad_aclnn_kernel.h,,has_custom_dispatch
aclnnLinalgCholesky,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnLinalgCross,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,Cross,Cross,,,,,,,True,CrossAscend,kernel_mod_impl/customize/cross_aclnn_kernel.cc;kernel_mod_impl/customize/cross_aclnn_kernel.h,,
aclnnLinalgQr,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,LinalgQr,LinalgQr,,,,LinalgQr,LinalgQrAscend,LinalgQr,False,LinalgQrAclnnKernelMod,kernel_mod_impl/customize/linalg_qr_aclnn_kernel.cc;kernel_mod_impl/customize/linalg_qr_aclnn_kernel.h,,has_custom_dispatch
aclnnLinalgVectorNorm,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,LinalgVectorNorm,LinalgVectorNorm,,,,LinalgVectorNorm,LinalgVectorNormAscend,LinalgVectorNorm,False,LinalgVectorNormAscend,kernel_mod_impl/customize/linalg_vector_norm_aclnn_kernel.cc;kernel_mod_impl/customize/linalg_vector_norm_aclnn_kernel.h,,has_custom_dispatch
aclnnLinspace,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,LinSpaceExt,LinSpaceExt,,,,LinSpaceExt,LinSpaceExtAscend,,True,LinSpaceExtAscend,kernel_mod_impl/customize/lin_space_ext_aclnn_kernel.cc;kernel_mod_impl/customize/lin_space_ext_aclnn_kernel.h,,has_custom_dispatch
aclnnLog,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,Log,,,Log,Log,,,Log,False,,,,
aclnnLog10,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,Log10,,,Log10,Log10,,,Log10,False,,,,
aclnnLog1p,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,Log1p,,,Log1p,Log1p,,,Log1p,False,,,,
aclnnLog2,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,Log2,,,Log2,Log2,,,Log2,False,,,,
aclnnLogAddExp,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,LogAddExp,,,LogAddExp,LogAddExp,,,LogAddExp,False,,,,
aclnnLogAddExp2,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,LogAddExp2,,,LogAddExp2,LogAddExp2,,,LogAddExp2,False,,,,
aclnnLogSigmoid,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnLogSigmoidBackward,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,LogSigmoidGrad,,,LogSigmoidGrad,LogSigmoidGrad,,,,True,,,,
aclnnLogSigmoidForward,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,LogSigmoid,,,LogSigmoid,LogSigmoid,,,,True,,,,
aclnnLogSoftmax,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen+custom_dispatch,LogSoftmax,,,LogSoftmax,LogSoftmax,LogSoftmaxExt,LogSoftmaxExtAscend,LogSoftmax,False,,,,has_custom_dispatch
